question,answer
Bagaimana Durga di India awalnya digambarkan dalam tradisi Hindu,Durga di India pada awalnya digambarkan sebagai Dewi Perang yang cantik dengan banyak lengan.
Apa yang dipegang oleh masing-masing lengan Dewi Durga dalam mitologi India,"Masing-masing lengannya memegang senjata yang dianugerahkan oleh Dewa Siwa dan dewa-dewa lain selama penciptaannya sebagai Dewi Perang dan Pelindung bagi para dewa untuk mengalahkan musuhnya yang sangat sakti yaitu Mahisasura, raja raksasa yang berkepala kerbau (Mookerjee, 988:8)."
Di mana deskripsi wujud Durga ditemukan dalam literatur suci India,"Deskripsi wujud Durga ini ditemukan dalam syair-syair suci India seperti Devi Mahatmnya, subbagian penting dari ensiklopedia Markandeya Purana (disusun sekitar abad ke-6 M)."
"Apa arti dari sebutan ""Durga Mahisasuramardini""","Setelah dapat mengalahkan musuhnya, Durga diberi sebutan Durga Mahisasuramardini yang berarti “Durga yang telah berhasil membunuh Mahisasura”."
Apa yang mempengaruhi ajaran Hindu aliran Siwaisme yang menyebar di Indonesia,Penggambaran Durga sebagai Mahisasuramardini-lah yang mempengaruhi ajaran Hindu aliran Siwaisme yang menyebar di Indonesia mulai awal abad milenium sampai runtuhnya kerajaan Majapahit.
"Apa yang terjadi pada penggambaran Durga Mahisasuramardini di Nusantara, terutama di Jawa dan Bali","Namun, penggambaran Durga Mahisasuramardini di Nusantara terutama di Jawa dan Bali mengalami proses evolusi perubahan radikal."
Bagaimana penggambaran Durga Mahisasuramardini sebagai Dewi Perang dan Pelindung di zaman kerajaan Hindu di Jawa Tengah,Durga Mahasisasuramardini sebagai Dewi Perang dan Pelindung masih digambarkan sama seperti wujud asal mulanya di India pada zaman kerajaan Hindu di Jawa Tengah (abad ke-6 sampai ke-0 M).
Apa perubahan radikal yang terjadi pada penggambaran Durga Mahisasuramardini setelah kekuatan kerajaan Hindu pindah ke Jawa Timur,"Tetapi setelah kekuatan kerajaan Hindu pindah ke Jawa Timur (sekitar abad ke-0 sampai abad ke-5 M), penggambaran Durga Mahisasuramardini telah mengalami perubahan yang radikal dimana Durga Mahisasuramardini digambarkan sebagai Dewi berupa raksasi."
,Perkembangan Durga Mahisasuramardini di Bali bahkan lebih radikal lagi karena Durga Mahisasuramardini telah diidentikkan dengan pemuja setianya yaitu Rangda ing Dirah seperti yang dinarasikan dalam cerita Calonarang.
Apa metodologi yang digunakan dalam makalah ini untuk menelusuri sejarah Durga,"Dalam makalah ini, saya mengkaji sejarah dan mitos asal mula pemujaan Durga di India serta perkembangannya di Indonesia, khususnya di Jawa dan Bali."
Apa yang memicu ketertarikan Anda terhadap Durga selama bekerja di Jaipur,"Ketertarikan saya terhadap Durga dimulai ketika saya bekerja di Jaipur, India Utara, pada tahun 200-2003, di mana saya menjumpai berbagai hal seperti toko, grup musik, dan nama perempuan yang bernama Durga"
Bagaimana pandangan Anda tentang Durga di Bali berbeda dari pandangan Anda di India,"Di Bali, saya memandang Durga sebagai sosok Dewi/Bhatari yang menyeramkan, dan pengetahuan ini berasal dari cerita almarhum kakek saya, seorang Pemangku Pura Dalem di desa kelahiran saya."
Mengapa Anda memilih Charles Darwin University untuk penelitian tentang Durga,"Untuk memahami perbedaan persepsi Durga di India dan Bali, saya melakukan penelitian mendalam dengan melamar beasiswa di Charles Darwin University (CDU) Darwin."
